date,value
1990-01,25.7447
1990-02,25.7326
1990-03,25.9255
1990-04,26.0242
1990-05,25.9279
1990-06,25.8757
1990-07,25.7058
1990-08,25.5791
1990-09,25.3763
1990-10,25.1298
1990-11,25.0780
1990-12,25.2075
1991-01,25.2435
1991-02,25.1412
1991-03,25.4468
1991-04,25.5784
1991-05,25.6453
1991-06,25.7655
1991-07,25.7452
1991-08,25.7195
1991-09,25.6172
1991-10,25.5553
1991-11,25.4967
1991-12,25.4309
1992-01,25.3281
1992-02,25.4625
1992-03,25.6368
1992-04,25.6435
1992-05,25.5497
1992-06,25.3995
1992-07,25.2932
1992-08,25.2650
1992-09,25.2088
1992-10,25.2533
1992-11,25.4616
1992-12,25.4875
1993-01,25.5234
1993-02,25.5076
1993-03,25.4252
1993-04,25.2514
1993-05,25.2342
1993-06,25.2138
1993-07,25.3312
1993-08,25.1910
1993-09,25.1956
1993-10,25.2693
1993-11,25.3823
1993-12,25.4596
1994-01,25.5431
1994-02,25.3817
1994-03,25.3248
1994-04,25.2675
1994-05,25.2121
1994-06,25.1368
1994-07,24.9770
1994-08,25.0213
1994-09,24.9683
1994-10,25.0010
1994-11,24.9915
1994-12,25.1088
1995-01,25.1330
1995-02,25.0195
1995-03,24.7604
1995-04,24.5723
1995-05,24.6627
1995-06,24.6718
1995-07,24.7545
1995-08,24.9604
1995-09,25.1288
1995-10,25.1152
1995-11,25.1662
1995-12,25.1640
1996-01,25.2981
1996-02,25.2495
1996-03,25.2505
1996-04,25.2900
1996-05,25.2891
1996-06,25.3540
1996-07,25.3550
1996-08,25.2891
1996-09,25.4070
1996-10,25.4741
1996-11,25.4589
1996-12,25.6000
1997-01,25.7257
1997-02,25.9568
1997-03,25.9586
1997-04,26.0641
1997-05,25.7505
1997-06,24.5343
1997-07,30.2741
1997-08,32.3986
1997-09,35.2557
1997-10,37.5432
1997-11,39.0917
1997-12,44.3091
1998-01,52.9825
1998-02,45.9868
1998-03,41.3659
1998-04,39.6536
1998-05,39.1980
1998-06,42.3318
1998-07,41.2996
1998-08,41.7200
1998-09,40.4024
1998-10,38.1181
1998-11,36.5268
1998-12,36.2759
1999-01,36.6216
1999-02,37.1368
1999-03,37.5565
1999-04,37.6311
1999-05,37.0510
1999-06,36.9255
1999-07,37.1429
1999-08,38.0604
1999-09,40.0598
1999-10,39.4155
1999-11,38.7485
1999-12,38.2270
2000-01,37.3800
2000-02,37.7585
2000-03,37.9226
2000-04,37.9928
2000-05,38.9514
2000-06,39.0868
2000-07,40.3177
2000-08,40.8891
2000-09,41.9920
2000-10,43.3338
2000-11,43.7914
2000-12,43.2460
2001-01,43.1486
2001-02,42.6653
2001-03,43.9878
2001-04,45.4938
2001-05,45.5245
2001-06,45.2633
2001-07,45.6414
2001-08,44.9074
2001-09,44.3311
2001-10,44.7500
2001-11,44.4105
2001-12,43.9515
2002-01,44.0362
2002-02,43.8537
2002-03,43.4152
2002-04,43.4423
2002-05,42.8165
2002-06,42.1600
2002-07,41.2569
2002-08,42.1927
2002-09,42.8933
2002-10,43.6405
2002-11,43.3526
2002-12,43.3181
2003-01,42.7733
2003-02,42.8966
2003-03,42.7829
2003-04,42.9286
2003-05,42.2171
2003-06,41.6752
2003-07,41.8077
2003-08,41.6564
2003-09,40.4829
2003-10,39.7605
2003-11,39.9350
2003-12,39.7450
2004-01,39.1241
2004-02,39.1158
2004-03,39.4696
2004-04,39.4527
2004-05,40.5600
2004-06,40.8268
2004-07,40.9819
2004-08,41.5208
2004-09,41.4738
2004-10,41.2935
2004-11,40.2818
2004-12,39.1835
2005-01,38.7393
2005-02,38.4462
2005-03,38.5939
2005-04,39.5214
2005-05,39.8005
2005-06,40.9168
2005-07,41.6995
2005-08,41.1317
2005-09,41.0405
2005-10,40.8950
2005-11,41.0970
2005-12,41.0757
2006-01,39.5185
2006-02,39.3432
2006-03,38.9470
2006-04,37.9520
2006-05,37.9468
2006-06,38.3486
2006-07,37.9690
2006-08,37.5870
2006-09,37.4270
2006-10,37.2814
2006-11,36.5010
2006-12,35.6940
2007-01,35.1890
2007-02,33.8884
2007-03,32.6423
2007-04,32.4210
2007-05,32.8177
2007-06,32.3176
2007-07,30.3867
2007-08,31.7961
2007-09,32.0565
2007-10,31.5248
2007-11,31.3476
2007-12,30.1580
2008-01,30.3048
2008-02,31.1740
2008-03,31.4043
2008-04,31.5582
2008-05,32.0262
2008-06,33.1752
2008-07,33.4705
2008-08,33.8195
2008-09,34.2381
2008-10,34.4209
2008-11,35.0350
2008-12,35.0086
2009-01,34.8710
2009-02,35.3089
2009-03,35.7368
2009-04,35.4036
2009-05,34.6240
2009-06,34.1036
2009-07,34.0313
2009-08,34.0076
2009-09,33.7876
2009-10,33.3900
2009-11,33.2621
2009-12,33.2045
2010-01,33.0274
2010-02,33.1221
2010-03,32.4913
2010-04,32.2686
2010-05,32.3650
2010-06,32.4459
2010-07,32.2895
2010-08,31.7173
2010-09,30.7771
2010-10,29.9205
2010-11,29.8690
2010-12,30.0857
2011-01,30.5455
2011-02,30.6953
2011-03,30.3330
2011-04,30.0424
2011-05,30.2210
2011-06,30.4995
2011-07,30.0475
2011-08,29.8735
2011-09,30.4571
2011-10,30.8395
2011-11,30.9315
2011-12,31.1743
2012-01,31.5060
2012-02,30.6850
2012-03,30.7036
2012-04,30.8614
2012-05,31.2850
2012-06,31.6152
2012-07,31.6181
2012-08,31.3970
2012-09,30.9442
2012-10,30.6764
2012-11,30.6945
2012-12,30.6155
2013-01,30.0410
2013-02,29.8105
2013-03,29.4948
2013-04,29.0573
2013-05,29.7618
2013-06,30.8160
2013-07,31.1082
2013-08,31.5645
2013-09,31.6345
2013-10,31.1850
2013-11,31.6242
2013-12,32.3505
2014-01,32.9262
2014-02,32.6179
2014-03,32.3619
2014-04,32.2982
2014-05,32.5257
2014-06,32.4905
2014-07,32.0864
2014-08,32.0048
2014-09,32.1971
2014-10,32.4418
2014-11,32.7878
2014-12,32.8876
2015-01,32.7280
2015-02,32.5595
2015-03,32.6245
2015-04,32.5141
2015-05,33.5200
2015-06,33.7186
2015-07,34.3518
2015-08,35.3938
2015-09,36.0114
2015-10,35.6790
2015-11,35.7784
2015-12,35.9936
2016-01,36.1226
2016-02,35.5955
2016-03,35.2117
2016-04,35.0629
2016-05,35.4076
2016-06,35.2668
2016-07,35.0410
2016-08,34.7122
2016-09,34.7133
2016-10,35.0545
2016-11,35.3345
2016-12,35.7776
2017-01,35.4289
2017-02,34.9989
2017-03,34.8752
2017-04,34.4495
2017-05,34.4573
2017-06,33.9891
2017-07,33.7090
2017-08,33.2470
2017-09,33.1385
2017-10,33.2186
2017-11,32.8905
2017-12,32.6165
2018-01,31.8700
2018-02,31.4900
2018-03,31.2564
2018-04,31.3086
2018-05,31.9641
2018-06,32.4867
2018-07,33.2681
2018-08,33.0130
2018-09,32.5784
2018-10,32.7636
2018-11,32.9485
2018-12,32.7078
2019-01,31.7775
2019-02,31.3272
2019-03,31.7352
2019-04,31.8477
2019-05,31.7964
2019-06,31.1010
2019-07,30.7995
2019-08,30.7441
2019-09,30.5580
2019-10,30.3441
2019-11,30.2405
2019-12,30.1957
2020-01,30.4700
2020-02,31.3226
2020-03,32.0945
2020-04,32.6127
2020-05,32.0805
2020-06,31.1423
2020-07,31.4168
2020-08,31.1986
2020-09,31.3724
2020-10,31.2471
2020-11,30.4672
2020-12,30.0805
2021-01,29.9972
2021-02,30.0174
2021-03,30.7948
2021-04,31.3241
2021-05,31.2735
2021-06,31.4427
2021-07,32.6662
2021-08,33.0923
2021-09,33.1000
2021-10,33.4335
2021-11,33.0915
2021-12,33.5605
2022-01,33.2225